Time,Pontos Detectados Total,Deteção frontal ativa,Deteção traseira ativa
0.168,0,1,0
0.267,0,1,0
0.367,0,1,0
0.468,0,1,0
0.534,0,1,0
0.601,0,1,0
0.668,0,1,0
0.767,0,1,0
0.867,0,1,0
0.935,0,1,0
1.034,0,1,0
1.1,0,1,0
1.168,0,1,0
1.267,0,1,0
1.368,0,1,0
1.434,0,1,0
1.535,0,1,0
1.6,0,1,0
1.701,0,1,0
1.767,0,1,0
1.87,0,1,0
1.935,0,1,0
2,0,1,0
2.102,0,1,0
2.168,0,1,0
2.267,0,1,0
2.368,0,1,0
2.434,0,1,0
2.535,0,1,0
2.601,0,1,0
2.667,0,1,0
2.767,0,1,0
2.867,0,1,0
2.934,0,1,0
3,0,1,0
3.068,0,1,0
3.168,3,1,0
3.268,0,1,0
3.345,0,1,0
3.402,0,1,0
3.5,0,1,0
3.568,0,1,0
3.668,0,1,0
3.769,2,1,0
3.868,2,1,0
3.935,2,1,0
4.034,2,1,0
4.135,2,1,0
4.205,2,1,0
4.268,2,1,0
4.367,2,1,0
4.435,2,1,0
4.501,2,1,0
4.602,2,1,0
4.667,2,1,0
4.768,2,1,0
4.835,2,1,0
4.946,2,1,0
5.034,2,1,0
5.101,2,1,0
5.202,2,1,0
5.267,2,1,0
5.367,2,1,0
5.435,2,1,0
5.501,2,1,0
5.568,2,1,0
5.668,2,1,0
5.767,3,1,0
5.867,3,1,0
5.935,3,1,0
6,3,1,0
6.102,8,1,0
6.168,4,1,0
6.237,3,1,0
6.3,3,1,0
6.367,4,1,0
6.434,3,1,0
6.502,3,1,0
6.567,3,1,0
6.635,3,1,0
6.703,3,1,0
6.767,3,1,0
6.835,3,1,0
6.901,2,1,0
6.97,0,1,0
7.068,1,1,0
7.101,0,1,0
7.172,0,1,0
7.236,0,1,0
7.3,0,1,0
7.369,0,1,0
7.468,0,1,0
7.536,0,1,0
7.602,0,1,0
7.668,0,1,0
7.737,0,1,0
7.802,1,1,0
7.867,2,1,0
7.934,3,1,0
8,4,1,0
8.067,4,1,0
8.134,4,1,0
8.202,4,1,0
8.268,4,1,0
8.368,4,1,0
8.435,5,1,0
8.468,4,1,0
8.535,4,1,0
8.601,4,1,0
8.667,4,1,0
8.74,4,1,0
8.801,5,1,0
8.868,5,1,0
8.935,5,1,0
9,5,1,0
9.101,5,1,0
9.17,5,1,0
9.267,6,1,0
9.301,6,1,0
9.37,6,1,0
9.434,6,1,0
9.5,6,1,0
9.602,6,1,0
9.669,7,1,0
9.735,6,1,0
9.768,7,1,0
9.835,6,1,0
9.936,7,1,0
10.002,7,1,0
10.067,7,1,0
10.135,7,1,0
10.203,8,1,0
10.268,7,1,0
10.336,8,1,0
10.367,8,1,0
10.468,9,1,0
10.536,9,1,0
10.601,8,1,1
10.701,9,1,1
10.767,9,1,1
10.867,10,1,1
10.935,10,1,1
11.035,9,1,1
11.1,10,1,1
11.167,10,1,1
11.268,10,1,1
11.368,11,1,1
11.434,11,1,1
11.5,11,1,1
11.601,11,1,1
11.668,11,1,1
11.767,11,1,1
11.839,11,1,1
11.9,11,1,1
11.967,11,1,1
12.068,11,1,1
12.167,12,1,1
12.235,12,1,1
12.335,12,1,1
12.401,13,1,1
12.468,14,1,1
12.567,14,1,1
12.668,14,1,1
12.735,15,1,1
12.801,15,1,1
12.9,15,1,1
12.967,15,1,1
13.068,14,1,1
13.168,20,1,1
13.235,22,1,1
13.304,25,1,1
13.369,26,1,1
13.468,26,1,1
13.534,27,1,1
13.6,29,1,1
13.667,28,1,1
13.735,27,1,1
13.835,29,1,1
13.901,27,1,1
13.968,26,1,1
14.07,24,1,1
14.136,12,1,1
14.235,12,1,1
14.302,12,1,1
14.367,12,1,1
14.467,11,1,1
14.568,10,1,1
14.635,10,1,1
14.702,10,1,1
14.801,10,1,1
14.868,9,1,1
14.967,8,1,1
15.035,8,1,1
15.1,7,1,1
15.167,7,1,1
15.267,6,1,1
15.367,5,1,1
15.435,5,1,1
15.5,4,1,1
15.568,4,1,1
15.667,3,1,1
15.768,3,1,1
15.835,2,1,1
15.901,2,1,1
16.003,2,1,1
16.067,1,1,1
16.168,1,1,1
16.234,0,1,1
16.335,0,1,1
16.4,0,1,1
16.468,0,1,1
16.568,0,1,1
16.672,0,1,1
16.735,0,1,1
16.834,0,1,1
16.901,0,1,1
16.968,0,1,1
17.068,0,1,1
17.167,0,1,1
17.235,0,1,1
17.268,0,1,1
17.368,0,1,1
17.468,0,1,1
17.535,0,1,1
17.601,0,1,1
17.668,0,1,1
17.769,0,1,1
17.868,0,1,1
17.935,0,1,1
18.002,0,1,1
18.1,0,1,1
18.168,0,0,1
18.268,0,0,1
18.334,0,0,1
18.403,0,0,1
18.467,0,0,1
18.568,0,0,1
18.634,0,0,1
18.701,0,0,1
18.769,0,0,1
18.838,0,0,1
18.9,0,0,1
18.967,0,0,1
19.067,0,0,1
19.136,0,0,1
19.203,0,0,1
19.3,0,0,1
19.367,0,0,1
19.434,0,0,1
19.501,0,0,1
19.567,0,0,1
19.667,0,0,1
19.736,0,0,1
19.801,0,0,0
19.867,0,0,0
19.967,0,0,0
20.035,0,0,0
20.1,0,0,0
20.167,0,0,0
20.267,0,0,0
20.335,0,0,0
20.402,0,0,0
20.467,0,0,0
20.535,0,0,0
20.603,0,0,0
20.667,0,0,0
20.735,0,0,0
20.801,0,0,0
20.867,0,0,0
20.967,0,0,0
21.002,0,0,0
21.101,0,0,0
21.167,0,0,0
21.267,0,0,0
21.335,0,0,0
21.401,0,0,0
21.501,0,0,0
21.567,0,0,0
21.668,0,0,0
21.769,0,0,0
21.868,0,0,0
21.967,0,0,0
22.068,0,0,0
22.167,0,0,0
22.268,0,0,0
