Tempo,Distância do AP,Velocidade,Via
0.203,5.31405,0.0187459,2
0.303,5.32057,0.426681,2
0.405,5.31298,1.69552,2
0.503,5.91839,2.4729,2
0.57,6.58191,3.27114,2
0.64,7.04742,4.08701,2
0.704,7.04742,5.05641,2
0.805,7.85332,5.67689,2
0.904,8.44746,6.39813,2
0.973,8.77771,7.03103,2
1.042,9.10715,7.39734,2
1.143,9.06698,7.38827,2
1.202,9.06698,7.19376,2
1.303,9.00248,7.29018,2
1.402,9.23237,7.4865,2
1.475,9.15181,7.56089,2
1.573,9.36936,7.63492,2
1.64,9.3056,7.79987,2
1.741,9.3056,7.90823,2
1.804,9.56004,7.93541,2
1.902,9.51045,7.86285,2
1.969,9.50593,7.77237,2
2.039,9.21432,7.6251,2
2.103,9.21432,7.58791,2
2.205,9.25134,7.57737,2
2.304,9.29197,7.62732,2
2.404,9.34872,7.76818,2
2.475,9.41682,7.82141,2
2.577,9.45576,7.91483,2
2.636,9.45576,7.94894,2
2.704,9.48751,7.85662,2
2.804,9.22479,7.8138,2
2.903,9.19937,7.80197,2
2.975,9.18483,7.79189,2
3.042,9.47058,7.79515,2
3.107,9.47058,7.83234,2
3.205,9.42734,7.88915,2
3.303,9.40105,7.71095,2
3.371,9.08927,7.38572,2
3.472,9.37858,7.69043,2
3.54,9.38673,7.78175,2
3.603,9.38673,7.9264,2
3.705,9.37455,7.9029,2
3.805,9.38831,7.82741,2
3.904,9.39922,7.81667,2
3.971,9.44088,7.95397,2
4.075,9.44397,7.98089,2
4.171,9.44479,7.95154,2
4.238,9.45305,7.9235,2
4.306,9.45305,7.90816,2
4.404,9.45094,7.88674,2
4.47,9.43854,7.94568,2
4.54,9.41217,7.97397,2
4.64,9.41217,7.97735,2
4.705,9.41065,8.00902,2
4.805,9.4093,7.99673,2
4.868,9.40905,7.96621,2
5.005,9.40305,7.97998,2
05.07,9.41236,7.97708,2
5.142,9.40341,7.96443,2
5.238,9.40341,7.95207,2
5.303,9.39805,7.9592,2
5.405,9.41062,7.98288,2
5.474,9.41711,7.97958,2
5.537,9.42188,7.91379,2
5.603,9.42188,7.98134,2
5.703,9.43769,7.99625,2
5.808,9.42415,7.95633,2
5.905,9.4297,7.89936,1
5.975,9.83049,7.92524,1
6.044,9.82073,7.92137,1
6.105,9.82073,7.59807,1
6.175,9.20692,7.14461,1
6.275,8.62524,6.1726,1
6.335,8.46732,5.68694,1
6.406,8.46732,5.17376,1
6.471,7.9867,5.00579,1
6.537,7.9867,4.73582,1
6.575,7.73196,4.57683,1
6.645,7.62827,4.52317,1
6.706,7.62827,4.51579,1
6.804,7.70724,4.51958,1
6.875,7.76509,4.50663,1
6.937,7.76509,4.48611,1
7.006,7.63453,4.8399,1
7.075,8.18901,5.28832,1
7.138,8.46322,5.71035,1
7.204,8.46322,6.07274,1
7.271,8.90417,6.42544,1
7.34,8.90417,7.04449,1
7.403,9.44196,7.03343,1
7.504,9.47265,6.74755,1
7.541,8.84734,6.18371,1
7.604,8.84734,5.85115,1
7.674,8.25474,5.31644,1
7.746,7.92362,4.90307,1
7.806,7.92362,4.73818,0
7.904,7.87315,4.58665,0
7.977,7.87902,4.57285,0
8.039,7.87902,5.11677,0
8.103,8.11987,5.5869,0
8.172,8.56201,5.84819,0
8.205,8.56201,6.10162,0
8.304,8.89405,6.4103,0
8.374,9.40891,6.74396,0
8.443,9.3597,6.95538,0
8.502,9.3597,7.07482,0
8.57,9.59286,7.15515,0
8.639,9.59286,7.43993,0
8.703,9.76429,7.53188,0
8.773,9.87633,7.61204,0
8.835,9.87633,7.74327,0
9.103,9.69955,7.19557,0
9.206,9.54579,6.97964,0
9.273,9.34675,6.51385,0
9.339,9.06221,6.32511,0
9.405,9.06221,6.53078,0
9.477,9.27025,6.788,0
9.542,9.45588,6.98812,0
9.609,9.45588,7.09491,0
9.673,9.38165,7.11456,0
9.741,9.32739,7.23619,0
9.806,9.32739,7.46048,0
9.874,9.57929,7.57601,0
9.948,9.5513,7.75008,0
10.006,9.5513,7.83236,0
10.106,9.5766,7.87812,0
10.145,9.6516,7.81351,0
10.207,9.6516,7.71934,0
10.276,9.43597,7.63197,0
10.345,9.29703,7.45092,0
10.406,9.29703,7.28909,0
10.473,9.21444,7.18399,0
10.541,8.91016,7.16055,0
10.64,8.93824,7.13064,0
10.706,8.93824,7.13573,0
10.806,8.9615,7.14277,0
10.905,8.87081,7.14439,0
10.975,9.0168,7.13272,0
11.07,9.06454,7.1463,0
11.142,9.06454,7.1303,0
11.206,8.9755,7.33941,0
11.305,8.88759,7.61401,0
11.405,9.28593,7.75488,0
11.473,9.16839,7.60431,0
11.54,8.87324,7.50633,0
11.604,8.87324,7.17968,0
11.704,8.40083,6.64734,0
11.805,8.11482,6.43541,0
11.875,8.24724,6.29991,0
11.944,8.09575,6.27456,0
