time,Distância minima dos pontos detetados na zona de deteção frontal,Distância minima dos pontos detetados na zona de deteção traseira
0.168,0,0
0.234,0,0
0.301,0,0
0.367,0,0
0.435,0,0
0.501,0,0
0.68,0,0
0.778,0,0
0.987,0,0
01.02,0,0
1.086,0,0
1.187,0,0
1.253,0,0
1.32,0,0
1.386,0,0
1.453,0,0
1.52,0,0
1.587,0,0
1.653,0,0
1.722,0,0
1.788,0,0
1.853,0,0
1.923,0,0
1.954,0,0
2.053,0,0
2.121,0,0
2.187,0,0
2.253,0,0
2.321,0,0
2.386,0,0
2.453,0,0
2.52,0,0
2.587,0,0
2.654,0,0
2.753,0,0
2.821,0,0
2.887,0,0
2.954,0,0
2.992,0,0
3.086,0,0
3.153,0,0
3.191,0,0
3.253,0,0
3.321,0,0
3.387,0,0
3.453,0,0
3.486,0,0
3.553,19.8585,0
3.653,19.7414,0
3.687,19.4419,0
3.753,19.279,0
3.82,19.0439,0
3.886,18.9162,0
3.953,18.6865,0
4.053,18.4595,0
4.122,18.2384,0
4.187,18.006,0
4.253,17.7773,0
4.321,17.6177,0
4.387,17.4612,0
4.453,17.3132,0
4.486,17.0169,0
4.586,16.8645,0
4.653,16.7229,0
4.721,16.4076,0
4.786,16.1749,0
4.853,15.9522,0
4.953,15.8041,0
4.988,15.5647,0
5.087,15.3344,0
5.221,14.962,0
5.286,14.7479,0
5.353,14.5786,0
5.453,14.2923,0
5.521,14.0634,0
5.587,13.7467,0
5.653,13.6092,0
5.721,13.3657,0
5.753,13.2166,0
5.824,13.0571,0
5.886,12.9036,0
5.921,12.7646,0
5.987,12.539,0
6.053,12.4532,0
6.087,12.2305,0
6.153,12.0736,0
6.221,11.9269,0
6.253,11.7041,0
6.32,11.557,0
6.386,11.4142,0
6.453,11.1941,0
6.487,11.0867,0
6.554,10.8633,0
6.586,10.8045,0
6.653,10.6713,0
6.721,10.4676,0
6.787,10.2871,0
6.853,10.1381,0
6.921,9.95835,0
6.953,9.84149,0
07.02,9.78775,0
7.086,9.5933,0
7.153,9.38418,0
7.221,9.29979,0
7.288,9.19843,0
7.353,8.99916,0
7.421,8.88505,0
7.453,8.75517,0
7.522,8.58268,0
7.586,8.43865,0
7.622,8.38647,0
7.686,8.22575,0
7.753,8.10892,0
7.821,7.95386,0
7.886,7.92096,0
7.921,7.78014,0
7.987,7.62523,0
8.053,7.53485,0
8.088,7.40125,0
8.186,7.25477,0
8.253,7.18176,0
8.287,7.04338,0
8.353,6.8561,0
8.42,6.79067,0
8.487,6.626,0
8.587,6.4492,0
8.653,6.30838,0
8.72,6.18553,0
8.786,5.97307,0
8.856,5.89719,0
8.921,5.87784,0
8.987,5.70234,0
9.053,5.60927,0
9.12,5.5167,0
9.188,5.44037,0
9.253,5.32572,0
9.321,5.35953,0
9.386,5.24592,0
9.42,5.14233,0
9.487,5.14639,0
9.553,5.0337,0
9.624,5.06397,0
9.687,4.91156,0
9.753,4.83215,0
9.854,4.8121,0
9.92,4.62948,0
9.987,4.62327,0
10.087,4.57414,0
10.153,4.49403,0
10.225,4.45136,0
10.287,4.41738,0
10.387,4.40696,0
10.453,4.41216,4.40695
10.524,4.42918,4.42173
10.587,4.45481,4.43987
10.687,4.46309,4.46117
10.753,4.48137,4.48158
10.854,4.52379,4.51936
10.954,4.5519,4.54199
11.02,4.61354,4.58761
11.087,4.63523,4.60486
11.187,4.72941,4.61006
11.286,4.90867,4.65405
11.354,4.97528,4.67432
11.456,5.28661,4.71153
11.52,0,4.78075
11.587,0,4.81083
11.686,0,4.82724
11.753,0,4.91673
11.854,0,4.98177
11.921,0,5.04698
11.986,0,5.13037
12.087,0,5.25351
12.154,0,5.37857
12.254,0,5.50317
12.354,0,5.65698
12.455,0,5.78263
12.555,0,6.01061
12.621,0,6.15162
12.687,0,6.3079
12.786,0,6.47593
12.853,0,0
12.954,0,0
13.053,0,0
13.12,0,0
13.221,0,0
13.287,0,0
13.386,0,0
13.487,0,0
13.586,0,0
13.653,0,0
13.753,0,0
13.854,0,0
13.92,0,0
13.987,0,0
14.087,0,0
14.153,0,0
14.221,0,0
14.287,0,0
14.353,0,0
14.421,0,0
14.487,0,0
14.553,0,0
14.62,0,0
14.686,0,0
14.755,0,0
14.821,0,0
14.921,0,0
14.987,0,0
15.053,0,0
15.12,0,0
15.187,0,0
15.254,0,0
15.353,0,0
15.422,0,0
15.486,0,0
15.553,0,0
15.653,0,0
15.69,0,0
15.754,0,0
15.854,0,0
15.92,0,0
15.988,0,0
16.086,0,0
16.154,0,0
16.187,0,0
16.254,0,0
16.323,0,0
16.39,0,0
16.487,0,0
16.557,0,0
16.654,0,0
16.787,0,0
16.887,0,0
16.987,0,0
17.055,0,0
17.154,0,0
17.253,0,0
17.32,0,0
17.387,0,0
17.454,0,0
17.553,0,0
17.653,0,0
17.758,0,0
