Time,Distancia mínima aos obstáculos 1,Distancia mínima aos obstáculos 2,Pontos Detectados 1,Pontos Detectados 2
0.567,1.76532,1.80743,0,0
0.637,1.77195,1.808,0,0
0.7,1.76324,1.80085,0,0
0.769,1.78641,1.81218,0,0
0.835,1.7878,1.82553,0,0
0.901,1.79549,1.8242,0,0
0.97,1.80812,1.83776,0,0
1.035,1.80708,1.8347,0,0
1.102,1.82195,1.83267,0,0
1.201,1.81756,1.83076,0,0
1.268,1.8298,1.8401,0,0
1.335,1.82156,1.83144,0,0
1.402,1.82826,1.846,0,0
1.468,1.82491,1.84897,0,0
1.536,1.83964,1.85246,0,0
1.601,1.83451,1.84233,0,0
1.669,1.82119,1.85068,0,0
1.734,1.83447,1.84174,0,0
1.801,1.83121,1.84881,0,0
1.901,1.83022,1.84987,0,0
1.936,1.81792,1.82757,0,0
2.001,1.83417,1.84772,0,0
2.069,1.83599,1.84789,0,0
2.168,1.83321,1.85444,0,0
2.234,1.83161,1.84763,0,0
2.301,1.83839,1.85727,0,0
2.368,1.8302,1.85098,0,0
2.435,1.83011,1.86471,0,0
2.501,1.83346,1.84701,0,0
2.568,1.84344,1.85743,0,0
2.634,1.83136,1.84646,0,0
2.701,1.83376,1.86152,0,0
2.77,1.82868,1.85172,0,0
2.836,1.8411,1.8553,0,0
2.9,1.83842,1.84813,0,0
2.969,1.83882,1.83993,0,0
3.035,1.84314,1.85903,0,0
3.102,1.83034,1.8576,0,0
3.168,1.82976,1.85781,0,0
3.239,1.82366,1.84427,0,0
3.301,1.83496,1.85509,0,0
3.37,1.83343,1.85315,0,0
3.468,1.81806,1.85081,0,0
3.534,1.82945,1.84814,0,0
3.601,1.81077,1.84743,0,0
3.667,1.84501,1.84473,0,0
3.734,1.84109,1.85069,0,0
3.801,1.84573,1.85028,0,0
3.902,1.83402,1.85897,0,0
4.003,1.82917,1.84563,0,0
4.106,1.83205,1.84945,0,1
4.168,1.84526,1.84975,1,1
4.268,1.83296,1.85148,1,1
4.336,1.82712,1.84994,1,1
4.401,1.82758,1.85571,1,1
4.473,1.83876,1.85466,1,1
4.544,1.82978,1.85125,1,1
4.635,1.8288,1.84765,1,1
4.703,1.83826,1.85406,1,1
4.803,1.82696,1.85473,1,1
4.901,1.8315,1.85954,1,1
5.001,1.84712,1.84109,1,1
5.101,1.83792,1.86202,1,1
5.202,1.84594,1.84452,1,1
5.3,1.84034,1.85845,1,1
5.401,1.83361,1.84372,1,1
5.501,1.83016,1.85553,1,1
5.602,1.83395,1.85114,1,1
5.669,1.83578,1.8481,1,1
5.769,1.84713,1.85613,1,1
5.902,1.84975,1.83434,1,1
6.002,1.82873,1.85834,1,1
6.101,1.84069,1.85175,1,1
6.167,1.83335,1.85779,1,1
6.27,1.84519,1.84498,1,2
6.368,1.83808,1.85933,2,2
6.443,1.84724,1.86229,2,2
6.503,1.83542,1.85358,2,1
6.602,1.84608,1.84801,2,1
6.701,1.83585,1.85632,1,1
6.768,1.84381,1.8467,1,2
6.868,1.85252,1.85355,2,2
6.934,1.83222,1.85229,2,2
7.002,1.84717,1.85089,2,2
7.101,1.83109,1.85256,2,2
7.17,1.84894,1.85554,2,2
7.234,1.85277,1.85581,2,2
7.335,1.83771,1.85804,2,2
7.502,1.84649,1.85045,3,3
7.602,1.84456,1.83801,2,3
7.702,1.85554,1.84927,3,3
7.802,1.8445,1.85808,3,4
7.867,1.82843,1.85351,4,3
7.967,1.85885,1.84923,3,4
8.034,1.85217,1.85563,4,4
8.102,1.84977,1.85695,4,4
8.2,1.85589,1.85338,4,5
8.268,1.85656,1.85463,5,5
8.372,1.84332,1.8605,6,5
8.434,1.85544,1.85102,6,7
8.502,1.86274,1.8536,7,8
8.6,1.84416,1.85004,8,9
8.702,1.85219,1.83661,9,11
8.802,1.84547,1.84912,11,13
8.901,1.84948,1.84566,13,14
9.002,1.84822,1.8584,14,15
09.07,1.85759,1.85969,15,15
9.174,1.85588,1.85881,15,14
9.238,1.85023,1.85793,15,13
9.302,1.84614,1.85501,13,12
9.404,1.84753,1.84174,12,12
9.504,1.85391,1.85389,12,10
9.567,1.85118,1.84905,10,9
9.64,1.84976,1.83777,9,7
9.736,1.8531,1.85629,8,5
9.802,1.85817,1.85946,6,4
9.87,1.85045,1.85581,4,2
9.969,1.84538,1.85441,3,2
10.067,1.85325,1.84485,2,0
10.14,1.84798,1.85104,1,0
10.203,1.85558,1.84683,0,0
10.301,1.8499,1.85173,0,0
10.368,1.85554,1.83645,0,0
10.504,1.84612,1.84331,0,0
10.602,1.85641,1.86682,0,0
10.7,1.84783,1.85385,0,0
10.768,1.85139,1.85277,0,0
10.838,1.85449,,0,
10.9,1.84056,,0,
