time,Velocidade (media),Ângulo Máximo (media)
0.201,3.679075,32.04185
0.301,4.57171,29.31575
0.403,5.36665,27.20895
0.502,6.03751,25.35875
0.568,6.71458,23.5733
0.636,7.112395,22.42875
0.701,7.24197,22.0904
0.802,7.339225,21.84665
0.903,7.392805,21.6107
0.97,7.44192,21.4865
01.04,7.523695,21.2839
1.139,7.597905,21.0845
1.2,7.703645,20.77915
1.302,7.703645,20.77915
1.4,7.703645,20.77915
1.473,7.703645,20.77915
1.568,7.703645,20.77915
1.637,7.770275,20.6058
1.736,7.770275,20.59455
1.801,7.770275,20.59455
1.9,7.770275,20.59455
1.968,7.770275,20.59455
2.037,7.79099,20.58015
2.102,7.807885,20.5304
2.202,7.807885,20.5304
2.301,7.807885,20.5304
2.403,7.817605,20.5074
2.469,7.817605,20.5074
2.574,7.807885,20.512
2.635,7.79856,20.54375
2.703,7.79352,20.5558
2.803,7.79352,20.5558
2.901,7.79352,20.5558
2.971,7.79352,20.5558
3.041,7.80591,20.5381
3.104,7.82204,20.4961
3.303,7.82204,20.4886
3.369,7.865155,20.3281
3.469,7.9132,20.20035
3.538,7.91583,20.20035
3.603,7.91583,20.20035
3.702,7.91583,20.1939
3.801,7.93459,20.1736
3.903,7.94861,20.14815
3.969,7.952755,20.1161
4.068,7.962755,20.0899
4.168,7.958875,20.1064
4.237,7.97009,20.103
4.303,7.975525,20.072
4.401,7.975525,20.0652
4.468,7.975525,20.0652
4.536,7.975525,20.0652
4.636,7.977215,20.05355
4.703,7.97833,20.0504
4.803,7.971645,20.06205
4.868,7.971645,20.06205
5.003,7.97833,20.0504
5.067,7.970755,20.06205
5.136,7.961815,20.0829
5.235,7.957765,20.10115
5.302,7.957765,20.10115
5.404,7.940785,20.10935
5.468,7.923305,20.1704
5.535,7.91758,20.22895
5.601,7.910365,20.239
5.701,7.521985,21.24705
5.804,6.658605,23.57075
5.903,5.92977,25.4579
5.97,5.43035,26.73715
6.036,5.089775,27.7381
6.171,4.870805,28.3507
6.269,4.656325,28.9468
6.335,4.55,29.26375
6.403,4.55,29.26375
6.469,4.55,29.26375
6.535,4.55,29.26375
6.57,4.55,29.26375
6.639,4.681535,29.03935
6.705,5.06411,28.09105
6.803,5.499335,26.87185
6.868,5.891545,25.8314
6.937,6.128225,25.10225
7.001,6.128225,25.10225
7.069,6.128225,25.10225
7.135,6.128225,25.10225
7.203,6.128225,25.10225
7.268,6.01743,25.30815
7.337,5.583795,26.45875
7.401,5.216605,27.4773
7.502,5.216605,27.4773
7.536,5.216605,27.4773
7.603,5.216605,27.4773
7.671,5.216605,27.4773
7.741,5.351835,27.17945
7.803,5.717545,26.1909
7.902,5.974905,25.4908
7.972,6.25596,24.79425
8.035,6.57713,24.0318
8.102,6.84967,23.24095
8.17,7.0151,22.67435
8.204,7.114985,22.418
8.303,7.29754,21.95385
8.369,7.485905,21.43305
8.439,7.485905,21.39975
8.502,7.485905,21.39975
8.569,7.485905,21.39975
8.635,7.485905,21.39975
8.702,7.476815,21.39975
8.769,7.30866,21.796
8.834,7.087605,22.3132
8.903,6.98388,22.66325
8.969,6.98388,22.66325
9.039,6.98388,22.66325
9.103,6.98388,22.66325
9.204,6.98388,22.66325
9.271,7.041515,22.60715
9.335,7.104735,22.41015
9.403,7.175375,22.28415
9.472,7.348335,21.85075
9.538,7.518245,21.37215
9.605,7.647675,20.9716
9.67,7.675655,20.84355
9.736,7.675655,20.84355
9.804,7.675655,20.84355
9.871,7.675655,20.84355
9.939,7.675655,20.84355
10.005,7.541445,21.17425
10.104,7.370005,21.58445
10.14,7.23654,21.9665
10.204,7.17227,22.2021
10.271,7.15247,22.27405
10.342,7.145345,22.2881
10.404,7.14358,22.30265
10.471,7.14358,22.30265
10.54,7.14358,22.30265
10.635,7.14358,22.30265
10.704,7.145345,22.2881
10.805,7.242855,22.0604
10.904,7.259545,21.93505
10.974,7.259545,21.93505
11.068,7.259545,21.93505
11.137,7.259545,21.93505
11.204,7.259545,21.93505
11.304,6.91351,22.7749
11.404,6.7318,23.39375
11.468,6.7318,23.39375
11.538,6.7318,23.39375
11.602,6.7318,23.39375
11.701,6.7318,23.39375
11.804,6.92337,22.94495
11.87,7.12185,22.43305
11.937,7.3451,21.8347
12.001,7.529165,21.27885
12.104,7.579045,21.1359
12.201,7.579045,21.1359
12.27,7.579705,21.1359
12.369,7.579705,21.1359
12.435,7.579705,21.1359
12.503,7.58376,21.1205
12.6,7.58376,21.1205
12.701,7.58376,21.1205
12.768,7.58376,21.1205
12.837,7.604335,21.0933
12.903,7.604335,21.09535
13.002,7.604335,21.09535
13.104,7.59988,21.1015
13.202,7.599405,21.1015
13.269,7.575565,21.14845
13.34,7.53547,21.2488
13.402,7.53162,21.2539
13.505,7.53162,21.2539
13.569,7.53162,21.2539
13.702,7.53162,21.2539
13.768,7.54657,21.2488
13.869,7.632985,20.99695
13.935,7.762435,20.63275
14,7.779325,20.60325
14.105,7.790125,20.55025
14.169,7.807635,20.53445
14.271,7.807635,20.53445
14.336,7.807635,20.53445
14.406,7.802765,20.56245
14.506,7.785255,20.57825
14.569,7.78312,20.57825
14.667,7.78312,20.57825
14.738,7.78312,20.57825
14.805,7.797445,20.56245
14.905,7.802765,20.5493
