time,Velocidade (media),Ângulo Máximo (media)
0.202,0.1287827,41.5
0.269,0.517521,41.5
0.367,1.625491,38.51825
0.435,2.460205,35.2026
0.501,2.83305,33.95355
0.569,3.44751,32.30385
0.636,4.034405,30.67685
0.701,4.39241,29.7239
0.768,4.82947,28.61815
0.835,5.321725,27.41605
0.901,5.58818,26.6145
0.967,5.958335,25.54025
1.036,6.286585,24.7184
1.101,6.63391,23.7399
1.17,7.052605,22.6529
1.236,7.37884,21.79065
1.301,7.648675,20.9757
1.369,7.88278,20.34415
1.436,7.951625,20.1493
1.501,7.973135,20.05195
1.602,8.007215,19.9721
1.667,8.00228,20.01855
1.737,7.99816,20.00765
1.801,8.006195,19.99185
1.867,7.989515,20.0411
1.934,8.001305,19.98605
2.002,8.00014,19.9963
2.069,7.9874,20.01855
2.135,8.00884,19.97355
2.201,8.00056,19.9965
2.268,8.005405,19.96915
2.335,8.00708,19.9905
2.402,8.002805,19.9919
2.471,8.02034,19.93865
2.536,7.99861,20.00825
2.638,7.983185,20.0277
2.701,8.00882,19.97195
2.771,8.005575,20.00505
2.873,7.996295,20.01535
2.902,8.016755,19.95905
3.001,8.00196,19.99965
3.069,7.998035,19.99275
3.135,8.01063,19.97075
3.2,7.996995,20.01265
3.269,8.00927,19.96745
3.334,8.00538,19.9889
3.401,8.00284,19.9942
3.47,8.015985,19.95965
3.537,7.99891,19.9951
3.601,8.007285,19.97365
3.668,8.00409,19.9965
3.735,8.001795,19.9894
3.801,8.00999,19.97865
3.901,7.993275,20.02555
3.967,8.092535,19.98535
04.04,8.108215,19.97235
4.101,8.000675,20.0101
4.171,8.004085,19.9755
4.268,8.016405,19.9634
4.335,7.99317,20.01955
4.402,8.00073,19.9832
4.468,8.010795,19.96725
4.536,7.99771,19.99855
4.601,8.00575,19.982
4.67,7.998715,20.0086
4.735,8.00166,19.98515
4.801,8.00263,19.9891
4.869,7.99034,20.02635
4.935,8.011895,19.96835
5.001,8.004335,19.98405
5.069,8.001845,19.98435
5.136,8.01302,19.9716
5.2,7.99375,20.0155
5.301,8.004725,19.9779
5.369,8.016115,19.97015
5.44,7.995645,20.0194
5.502,8.005815,19.984
5.57,8.008705,19.9874
5.669,7.99834,20.00865
5.701,8.012905,19.9634
5.801,8.002615,19.98865
5.873,8.002225,19.9783
5.936,8.010725,19.9694
6.001,8.002875,19.99375
6.069,8.015535,19.95375
6.136,8.005645,19.98535
6.201,8.00316,19.98455
6.268,8.02101,19.94675
6.335,8.005565,19.98335
6.4,8.004715,19.9846
6.47,8.00312,20.00135
6.537,8.002405,19.98935
6.601,8.0214,19.9437
6.669,8.039835,19.90185
6.736,8.04419,19.8799
6.801,8.045595,19.87595
6.869,8.042805,19.8869
6.935,8.03814,19.887
7.002,8.050075,19.8539
07.07,8.037835,19.8909
7.168,8.03458,19.89165
7.204,8.122165,19.9166
7.302,8.101725,19.97555
7.37,8.00976,19.9699
7.437,8.011865,19.9722
7.501,8.010305,19.97685
7.568,8.104725,19.9724
7.637,8.10334,19.9771
7.703,8.01141,19.97175
7.769,8.00866,19.9712
7.869,8.00842,19.9708
7.936,8.10808,19.9905
8.003,8.04004,20.1641
8.138,7.804245,20.5726
8.202,7.7817,20.656
8.268,7.891205,20.30325
8.344,7.95328,20.14185
8.402,7.862745,20.3332
8.537,7.685085,20.86615
8.601,7.728215,20.852
8.701,7.91225,20.29595
8.802,7.988055,20.04575
8.869,8.012635,19.9609
8.968,8.02165,19.9376
9.037,8.017375,19.95445
9.101,8.0115,19.9656
9.202,8.01474,19.9525
9.304,8.018265,19.94715
9.401,8.01522,19.96365
9.47,8.008735,19.9772
9.569,8.010385,19.966
9.639,8.01563,19.96235
9.701,8.012595,19.97265
9.801,8.009615,19.9717
9.87,8.014075,19.96015
9.936,8.01453,19.96095
10.001,8.0104,19.9708
10.101,8.01438,19.9596
10.167,8.015505,19.9611
10.234,8.009375,19.9776
10.302,8.00912,19.9703
10.401,8.012855,19.96235
10.468,8.010725,19.9736
10.569,8.007595,19.97595
10.634,8.013955,19.95835
10.702,8.0141,19.96415
10.801,8.00915,19.97465
10.869,8.014805,19.9566
10.969,8.01791,19.95795
11.035,8.0122,19.9733
11.101,8.013485,19.9628
11.201,8.0165,19.9572
11.268,8.013095,19.9664
11.335,8.01259,19.9652
11.402,8.0162,19.9573
11.501,8.015475,19.9618
11.603,8.010455,19.9739
11.701,8.009575,19.97365
11.801,8.011425,19.96535
11.868,8.01553,19.9561
11.936,8.015465,19.95975
12.001,8.01044,19.9728
12.101,8.01464,19.9612
12.203,8.01691,19.9575
12.268,8.010825,19.97425
12.335,8.01029,19.967
12.402,8.0126,19.963
12.502,8.01014,19.97575
12.567,8.00885,19.9711
12.635,8.01385,19.96235
12.701,8.01374,19.9698
12.802,8.01077,19.96865
12.901,8.01283,19.95845
12.972,8.017085,19.9523
13.069,8.016325,19.9585
13.135,8.01125,19.97105
13.203,8.00946,19.971
13.302,8.0121,19.9686
13.401,8.01324,19.97
13.468,8.105175,19.9728
13.571,8.108745,19.9619
13.637,8.018235,19.95315
13.737,8.01532,19.96355
13.803,8.010835,19.96585
13.902,8.012185,19.9582
14.001,8.016095,19.95675
