Time,Distância mínima aos obstáculos,Distância à linha central,Pontos Detectados Frente,Pontos Detectados Tras,LINES,0,1,-1
0.201,1.31329,2.24168,0,0,1,0,1,-1
0.271,1.30405,2.23945,0,0,1,0,1,-1
0.339,1.29223,2.23281,0,0,1,0,1,-1
0.402,1.31159,2.23281,0,0,1,0,1,-1
0.473,1.32283,2.25165,0,0,1,0,1,-1
0.679,1.31532,2.28983,0,0,1,0,1,-1
0.714,1.35189,2.28983,0,0,1,0,1,-1
0.814,1.39969,2.34204,0,0,1,0,1,-1
0.991,1.45091,2.40875,0,0,1,0,1,-1
1.054,1.52015,2.45562,0,0,1,0,1,-1
1.122,1.54816,2.45562,0,0,1,0,1,-1
1.189,1.61064,2.51468,0,0,1,0,1,-1
1.353,1.67206,2.60022,0,0,1,0,1,-1
1.423,1.6895,2.60022,0,0,1,0,1,-1
1.487,1.73588,2.65374,0,0,1,0,1,-1
1.553,1.73589,2.65325,0,0,1,0,1,-1
1.589,1.76565,2.65325,0,0,1,0,1,-1
1.69,1.77306,2.67736,0,0,1,0,1,-1
1.726,1.79618,2.68917,0,0,1,0,1,-1
1.793,1.78944,2.68917,0,0,1,0,1,-1
1.887,1.79203,2.68832,0,0,1,0,1,-1
1.954,1.79024,2.67702,0,0,1,0,1,-1
1.987,1.7802,2.67702,0,0,1,0,1,-1
02.09,1.77198,2.6781,0,0,1,0,1,-1
2.123,1.77566,2.66849,0,0,1,0,1,-1
2.188,1.78478,2.66849,0,0,1,0,1,-1
2.289,1.77944,2.67564,0,0,1,0,1,-1
2.353,1.78797,2.66462,0,0,1,0,1,-1
2.426,1.78644,2.66462,0,0,1,0,1,-1
2.487,1.77746,2.67871,0,0,1,0,1,-1
2.554,1.79717,2.68564,0,0,1,0,1,-1
2.625,1.79992,2.6763,0,0,1,0,1,-1
2.689,1.78306,2.6763,0,0,1,0,1,-1
2.753,1.81015,2.68585,0,0,1,0,1,-1
2.853,1.82409,2.70526,0,0,1,0,1,-1
2.888,1.81553,2.70526,0,0,1,0,1,-1
2.954,1.81146,2.69373,0,0,1,0,1,-1
3.022,1.81689,2.70022,0,0,1,0,1,-1
3.087,1.81565,2.70634,0,0,1,0,1,-1
3.189,1.80026,2.68907,0,0,1,0,1,-1
3.226,1.81697,2.71133,0,0,1,0,1,-1
3.287,1.80204,2.71133,0,0,1,0,1,-1
3.353,1.82306,2.70449,0,0,1,0,1,-1
3.39,1.80832,2.70449,0,0,1,0,1,-1
3.453,1.80903,2.69895,0,0,1,0,1,-1
3.521,1.80659,2.70633,0,0,1,0,1,-1
3.589,1.80243,2.70633,2,0,1,0,1,-1
3.653,1.81575,2.70435,2,0,1,0,1,-1
3.722,1.82408,2.70435,2,0,1,0,1,-1
3.791,1.82089,2.7237,2,0,1,0,1,-1
3.853,1.80735,2.71197,2,0,1,0,1,-1
3.926,1.81949,2.71197,2,0,1,0,1,-1
3.987,1.81996,2.70396,2,0,1,0,1,-1
4.054,1.82721,2.71062,2,0,1,0,1,-1
4.153,1.82142,2.72108,2,0,1,0,1,-1
4.222,1.81869,2.72108,2,0,1,0,1,-1
4.288,1.81762,2.71479,2,0,1,0,1,-1
4.353,1.81861,2.72465,2,0,1,0,1,-1
4.389,1.83014,2.72465,2,0,1,0,1,-1
4.453,1.82053,2.7113,2,0,1,0,1,-1
4.522,1.82842,2.70585,2,0,1,0,1,-1
4.589,1.81373,2.70585,2,0,1,0,1,-1
4.687,1.81874,2.71849,2,0,1,0,1,-1
4.754,1.8193,2.69651,2,0,1,0,1,-1
4.822,1.83517,2.69651,2,0,1,0,1,-1
4.889,1.82715,2.70904,2,0,1,0,1,-1
4.988,1.81731,2.72505,2,0,1,0,1,-1
5.023,1.82304,2.70621,2,0,1,0,1,-1
5.089,1.82317,2.70621,2,0,1,0,1,-1
5.189,1.81368,2.71231,3,0,1,0,1,-1
5.224,1.8346,2.72644,2,0,1,0,1,-1
5.287,1.8227,2.72644,2,0,1,0,1,-1
5.387,1.82892,2.72344,2,0,1,0,1,-1
5.454,1.82935,2.71606,2,0,1,0,1,-1
5.554,1.81877,2.7162,3,0,1,0,1,-1
5.625,1.83052,2.7162,3,0,0,0,1,-1
5.687,1.87972,2.73702,3,0,0,0,1,-1
5.723,1.88681,2.73702,3,0,0,0,1,-1
5.786,1.89444,2.73253,3,0,0,0,1,-1
5.826,1.89312,2.71084,3,0,0,0,1,-1
5.887,1.88339,2.71084,3,0,0,0,1,-1
5.953,1.87764,2.69334,3,0,0,0,1,-1
5.99,1.9061,2.69334,3,0,0,0,1,-1
6.053,1.88983,2.65653,3,0,0,0,1,-1
6.088,1.94044,2.65653,3,0,0,0,1,-1
6.153,1.95207,2.63156,4,0,0,0,1,-1
6.224,2.00939,2.63156,3,0,0,0,1,-1
6.287,2.10872,2.55961,3,0,0,0,1,-1
6.324,2.16641,2.46933,3,0,0,0,1,-1
6.39,2.22799,2.46933,3,0,0,0,1,-1
6.453,2.37027,2.27205,3,0,0,0,1,-1
6.49,2.46453,2.27205,3,0,0,0,1,-1
6.554,2.62217,2.04128,2,0,0,0,1,-1
6.625,2.67752,1.91339,3,0,0,0,1,-1
6.689,2.80133,1.91339,2,0,0,0,1,-1
6.754,2.97144,1.6596,3,0,0,0,1,-1
6.79,3.14542,1.6596,4,0,0,0,1,-1
6.887,3.25992,1.45061,4,0,0,0,1,-1
6.921,3.41718,1.2576,5,0,0,0,1,-1
6.989,3.52124,1.2576,5,0,0,0,1,-1
7.053,3.57396,0.966489,5,0,0,0,1,-1
7.153,3.83868,0.810826,5,0,0,0,1,-1
7.225,3.93243,0.679731,6,0,0,0,1,-1
7.289,4.01322,0.679731,6,0,0,0,1,-1
7.353,3.97634,0.487114,6,0,0,0,1,-1
7.424,3.8611,0.487114,3,0,0,0,1,-1
7.487,3.71772,0.335087,7,0,0,0,1,-1
7.526,3.61845,0.175203,7,0,0,0,1,-1
7.588,3.46138,0.175203,7,0,0,0,1,-1
7.653,3.37387,-0.031034,8,0,0,0,1,-1
7.723,3.28122,-0.031034,7,0,0,0,1,-1
7.789,3.15017,-0.234063,8,0,0,0,1,-1
7.823,3.07548,-0.435578,8,0,0,0,1,-1
7.893,2.99979,-0.435578,8,0,0,0,1,-1
7.953,2.93474,-0.680058,8,0,0,0,1,-1
8.022,2.85947,-0.680058,8,0,0,0,1,-1
8.053,2.79629,-0.823989,9,0,0,0,1,-1
8.121,2.75147,-0.982581,9,0,0,0,1,-1
8.188,2.71732,-0.982581,9,0,0,0,1,-1
8.321,2.67271,-1.17961,10,0,1,0,1,-1
8.389,0.343481,-1.28449,10,0,1,0,1,-1
8.453,0.420228,-1.38879,10,0,1,0,1,-1
8.522,0.464972,-1.38879,11,0,1,0,1,-1
8.588,0.521305,-1.43941,11,0,1,0,1,-1
8.688,0.577572,-1.51127,11,0,1,0,1,-1
8.753,0.638563,-1.58129,11,0,1,0,1,-1
8.822,0.666563,-1.58129,12,0,1,0,1,-1
8.888,0.708433,-1.67052,11,0,1,0,1,-1
8.953,0.781353,-1.7612,12,0,1,0,1,-1
8.993,0.815835,-1.7612,12,0,1,0,1,-1
9.087,0.893114,-1.85955,12,0,1,0,1,-1
9.123,0.964406,-1.94825,13,0,1,0,1,-1
9.19,1.03202,-1.94825,13,0,1,0,1,-1
9.289,1.11489,-2.062,12,0,1,0,1,-1
9.323,1.19212,-2.13685,13,0,1,0,1,-1
9.39,1.22251,-2.13685,13,0,1,0,1,-1
9.453,1.29321,-2.25096,13,0,1,0,1,-1
9.522,1.34117,-2.25096,13,0,1,0,1,-1
9.588,1.39818,-2.31805,14,0,1,0,1,-1
9.654,1.45087,-2.37863,14,0,1,0,1,-1
9.722,1.50975,-2.3959,14,0,1,0,1,-1
9.788,1.51292,-2.3959,15,0,1,0,1,-1
9.89,1.53264,-2.42583,14,0,1,0,1,-1
9.954,1.53662,-2.42431,16,0,1,0,1,-1
10.023,1.5137,-2.40269,15,0,1,0,1,-1
10.087,1.51583,-2.40269,15,0,1,0,1,-1
10.188,1.50321,-2.41831,15,0,1,0,1,-1
10.254,1.52327,-2.4108,15,0,1,0,1,-1
10.326,1.52586,-2.41378,15,0,1,0,1,-1
10.389,1.52857,-2.41378,22,0,1,0,1,-1
10.487,1.52235,-2.4212,26,1,1,0,1,-1
10.554,1.51932,-2.43553,27,1,1,0,1,-1
10.629,1.52837,-2.43553,26,2,1,0,1,-1
10.723,1.57213,-2.4596,27,3,1,0,1,-1
10.787,1.59503,-2.48718,27,3,1,0,1,-1
10.886,1.6173,-2.53125,9,4,1,0,1,-1
10.99,1.62875,-2.55914,8,4,1,0,1,-1
11.057,1.61599,-2.59689,5,6,1,0,1,-1
11.126,1.60622,-2.59689,5,6,1,0,1,-1
11.222,1.59699,-2.62242,4,7,1,0,1,-1
11.329,1.61499,-2.64217,3,7,1,0,1,-1
11.388,1.63505,-2.66123,3,7,1,0,1,-1
11.486,1.67518,-2.64108,1,9,1,0,1,-1
11.558,1.67246,-2.65809,0,9,1,0,1,-1
11.625,1.68005,-2.65809,0,9,1,0,1,-1
11.723,1.68994,-2.64798,0,8,1,0,1,-1
11.788,1.68052,-2.60937,0,8,1,0,1,-1
11.857,1.67674,-2.61796,0,7,1,0,1,-1
11.954,1.65522,-2.60405,0,6,1,0,1,-1
12.027,1.65105,-2.60405,0,6,1,0,1,-1
12.123,1.64127,-2.58932,0,5,1,0,1,-1
12.188,1.64796,-2.57287,0,4,1,0,1,-1
12.288,1.66408,-2.56929,0,4,1,0,1,-1
12.388,1.67818,-2.56861,0,3,1,0,1,-1
12.487,1.68287,-2.56204,0,3,1,0,1,-1
