Time,Distancia mínima aos obstáculos,Velocidade,Ângulo (deg)
0.202,1.32487,3.04276,-2.180285
0.268,1.31583,3.742295,-1.2435245
0.339,1.32627,4.41655,-0.7050275
0.401,1.31673,4.72005,-0.0320815
0.469,1.31935,4.910325,0.626849
0.535,1.3296,4.94373,0.9351975
0.679,1.35376,4.96206,1.242625
0.715,1.3519,4.96206,1.24719
0.945,1.39285,4.981625,1.24719
0.979,1.41902,4.96206,1.25687
1.018,1.41307,4.950155,1.25687
1.079,1.43349,4.969875,1.24719
1.116,1.4349,4.950155,1.246925
1.216,1.45877,4.950155,1.240475
1.279,1.46852,4.95033,0.935738
1.347,1.50339,4.950155,0.632651
1.379,1.5141,4.950175,0.6258195
1.479,1.52275,4.972605,0.4684075
1.516,1.52763,4.950175,0.3180515
1.579,1.54157,4.972605,0.3170495
1.648,1.55593,4.9756,0.315909
1.717,1.56453,4.953345,0.315909
1.779,1.56596,4.9756,0.3145555
1.816,1.5815,4.9756,0.3145555
1.879,1.58332,4.969395,0.3145555
1.981,1.58855,4.988655,0.3123375
2.016,1.60935,4.969395,0.3102245
2.079,1.60339,4.969395,0.3102245
2.179,1.62184,4.99422,0.234343
2.215,1.6198,4.969395,0.159068
2.279,1.63394,4.99422,0.158223
2.38,1.63802,4.99422,0.1570975
2.42,1.65493,4.979745,0.1570975
2.48,1.64999,4.99422,0.156516
2.548,1.66174,4.991515,0.1562225
2.618,1.65489,4.973965,0.1562225
2.679,1.65295,4.991515,0.1559365
2.747,1.67076,4.973965,0.1555035
2.814,1.66466,4.962085,0.11760135
2.879,1.66737,4.973965,0.0791011
2.947,1.6765,4.962085,0.0791011
2.979,1.67938,4.94756,0.0791011
3.047,1.68711,4.962085,0.0791011
3.115,1.68847,4.959795,0.0791011
3.179,1.68998,4.94756,0.07941495
3.247,1.69648,4.959795,0.11711035
3.279,1.69565,4.94756,0.155223
3.379,1.71139,4.954075,0.155223
3.416,1.70532,4.967185,0.155223
3.479,1.70254,4.954075,0.155223
3.547,1.72197,4.967185,0.1170096
3.58,1.7156,4.97239,0.079135
3.679,1.71707,4.967185,0.079135
3.716,1.72031,4.97239,0.0785476
3.78,1.7219,4.98142,0.0785476
3.88,1.70307,4.97239,0.0785476
3.914,1.72072,4.98142,0.0779849
3.98,1.71431,4.98929,0.0779157
04.08,1.72984,4.98142,0.0779157
4.148,1.74251,4.98929,0.0779157
4.179,1.71113,4.98142,0.0779157
4.247,1.73961,4.97186,0.05843515
4.318,1.72953,4.98929,0.02947315
4.379,1.71726,4.97186,0.01988395
4.447,1.72696,4.96743,0.01988395
4.48,1.73332,4.98486,0.014767185
4.548,1.7383,4.96743,0.01489878
4.616,1.73575,4.96743,0.009804465
4.679,1.74022,4.990175,0.009804465
4.746,1.74084,4.96743,0.003625315
4.816,1.72131,4.990175,0.009804465
4.884,1.73663,4.990175,0.009804465
4.948,1.744,4.967245,0.02445563
5.017,1.74391,4.990175,0.03932855
05.08,1.74086,4.98016,0.02445563
5.146,1.7527,4.98016,0.03932855
5.213,1.74653,4.99154,0.03943575
5.28,1.74779,4.96861,0.03943575
5.317,1.74654,4.96861,0.09727495
5.382,1.76026,4.97117,0.11659145
5.48,1.76397,4.95979,0.0589984
5.548,1.76519,4.97117,0.03943575
