Time,Distancia mínima aos obstáculos,Distancia à linha central,0,Pontos Detectados Frente,Pontos Detectados Tras,LINES,Total Pontos Detetados
0.202,1.30402,2.23135,0,0,0,1,0
0.303,1.30035,2.23498,0,0,0,1,0
0.402,1.31289,2.23509,0,0,0,1,0
0.502,1.31567,2.25415,0,0,0,1,0
0.548,1.31101,2.24005,0,0,0,1,0
0.636,1.34755,2.2679,0,0,0,1,0
0.745,1.36959,2.29058,0,0,0,1,0
0.803,1.40681,2.32511,0,0,0,1,0
0.903,1.44876,2.3732,0,0,0,1,0
1.001,1.5088,2.41251,0,0,0,1,0
1.102,1.53577,2.46628,0,0,0,1,0
1.177,1.55163,2.49867,0,0,0,1,0
1.302,1.63354,2.54543,0,0,0,1,0
1.375,1.66484,2.59454,0,0,0,1,0
1.474,1.70879,2.60745,0,0,0,1,0
1.603,1.7195,2.63211,0,0,0,1,0
1.674,1.73298,2.64744,0,0,0,1,0
1.771,1.74122,2.63278,0,0,0,1,0
1.851,1.73626,2.62569,0,0,0,1,0
1.903,1.7221,2.62569,0,0,0,1,0
2.041,1.71643,2.61435,0,0,0,1,0
2.105,1.69464,2.61435,0,0,0,1,0
2.206,1.67298,2.61611,0,0,0,1,0
2.311,1.70337,2.60614,0,2,0,1,2
2.405,1.70805,2.60132,0,2,0,1,2
2.501,1.71171,2.61902,0,2,0,1,2
2.577,1.71991,2.59661,0,2,0,1,2
2.669,1.72076,2.62619,0,2,0,1,2
2.706,1.71323,2.62619,0,1,0,1,1
2.807,1.73675,2.6196,0,2,0,1,2
2.906,1.75032,2.64186,0,2,0,1,2
3.004,1.77167,2.67519,0,2,0,1,2
3.071,1.76727,2.6762,0,3,0,1,3
3.173,1.77593,2.67707,0,3,0,1,3
3.279,1.79463,2.6754,0,3,0,0,3
3.306,1.89851,2.6754,0,3,0,0,3
3.407,1.92391,2.68875,0,2,0,0,2
3.476,1.9219,2.68121,0,2,0,0,2
3.571,1.91642,2.67913,0,3,0,0,3
3.638,1.93488,2.67913,0,3,0,0,3
3.705,1.96532,2.64279,0,3,0,0,3
3.8,1.98742,2.60528,0,3,0,0,3
3.87,2.04978,2.54681,0,3,0,0,3
3.934,2.13813,2.54681,0,4,0,0,4
4.008,2.22997,2.39423,0,3,0,0,3
4.109,2.37635,2.26626,0,4,0,0,4
4.182,2.47484,2.13465,0,3,0,0,3
4.27,2.67791,1.99071,0,4,0,0,4
4.311,2.83028,1.99071,0,4,0,0,4
4.401,3.00892,1.81309,0,4,0,0,4
4.478,3.12673,1.48476,0,5,0,0,5
4.543,3.37112,1.48476,0,6,0,0,6
4.608,3.43749,1.35512,0,6,0,0,6
4.708,3.61245,1.07036,0,7,0,0,7
4.773,3.85583,0.870167,0,7,0,0,7
4.835,3.85922,0.870167,0,8,0,0,8
4.934,3.5992,0.463223,0,8,0,0,8
5.011,3.38354,0.463223,0,9,0,0,9
5.112,3.19698,0.102957,0,9,0,0,9
5.209,2.94728,-0.106052,0,10,0,0,10
5.272,2.78341,-0.438927,0,11,0,0,11
5.335,2.64768,-0.438927,0,11,0,0,11
5.404,2.54059,-0.653882,0,12,0,0,12
5.511,2.42349,-0.948418,0,14,0,0,14
5.609,2.39426,-1.25144,0,15,0,0,15
5.675,2.34086,-1.41001,0,17,0,1,17
5.736,0.509183,-1.41001,0,17,0,1,17
5.837,0.68426,-1.57538,0,19,0,1,19
5.906,0.791088,-1.68805,0,21,0,1,21
6.008,0.834599,-1.76901,0,21,0,1,21
6.105,0.895549,-1.80026,0,30,0,1,30
6.213,0.888578,-1.80327,0,31,0,1,31
6.271,0.910438,-1.8522,0,34,0,1,34
6.336,0.932043,-1.8522,0,36,1,1,37
6.437,0.959311,-1.87813,0,21,2,1,23
6.51,0.989907,-1.90039,0,37,3,1,40
6.611,1.02904,-1.95847,0,18,4,1,22
6.712,1.0621,-2.01495,0,10,5,1,15
6.772,1.10739,-2.09703,0,16,0,1,16
6.868,1.17215,-2.16344,0,13,7,1,20
6.938,1.24618,-2.16344,0,11,8,1,19
7.036,1.3344,-2.24689,0,11,7,1,18
7.109,1.39467,-2.30556,0,12,6,1,18
7.174,1.45537,-2.37266,0,12,5,1,17
7.278,1.50524,-2.45092,0,13,5,1,18
7.375,1.55853,-2.50665,0,13,4,1,17
7.435,1.62132,-2.50665,0,14,3,1,17
7.537,1.65884,-2.54669,0,15,3,1,18
7.614,1.67396,-2.55854,0,16,2,1,18
7.74,1.67905,-2.56413,0,17,1,1,18
7.815,1.64454,-2.5479,0,18,1,1,19
7.91,1.63231,-2.56635,0,18,0,1,18
7.975,1.62677,-2.55955,0,18,0,1,18
8.111,1.62858,-2.53274,0,20,0,1,20
8.212,1.61366,-2.52876,0,20,0,1,20
8.308,1.638,-2.52761,0,21,0,1,21
8.411,1.64004,-2.53443,0,20,0,1,20
8.541,1.64439,-2.53984,0,30,2,1,32
8.613,1.66234,-2.52667,0,31,3,1,34
8.7,1.65068,-2.54658,0,5,4,1,9
8.81,1.67754,-2.57236,0,5,5,1,10
8.869,1.67445,-2.57462,0,12,7,1,19
9.039,1.65733,-2.60357,0,8,9,1,17
9.138,1.64237,-2.60357,0,9,8,1,17
9.238,1.63223,-2.63518,0,9,7,1,16
9.316,1.64442,-2.63518,0,10,6,1,16
9.415,1.66428,-2.64725,0,10,5,1,15
9.509,1.66234,-2.64598,0,10,4,1,14
9.569,1.67313,-2.65292,0,12,3,1,15
9.641,1.67819,-2.65292,0,12,3,1,15
9.71,1.68319,-2.64017,0,13,2,1,15
9.816,1.68813,-2.63871,0,13,1,1,14
9.903,1.70247,-2.62094,0,14,0,1,14
10.012,1.71043,-2.62836,0,15,0,1,15
10.1,1.70555,-2.62254,0,14,0,1,14
10.179,1.70551,-2.61346,0,14,0,1,14
10.308,1.70265,-2.60827,0,14,0,1,14
10.418,1.70661,-2.59872,0,15,0,1,15
10.481,1.70327,-2.6071,0,12,2,1,14
10.567,1.70776,-2.58983,0,10,3,1,13
10.667,1.71088,-2.59571,0,9,4,1,13
10.738,1.71079,-2.59571,0,7,5,1,12
10.843,1.70117,-2.60864,0,5,6,1,11
10.917,1.70777,-2.60247,0,3,7,1,10
11.041,1.70203,-2.61126,0,1,9,1,10
11.146,1.70384,-2.60689,0,0,8,1,8
11.238,1.69588,-2.60689,0,0,7,1,7
11.319,1.70552,-2.61545,0,0,6,1,6
11.423,1.7005,-2.61267,0,0,5,1,5
11.504,1.70187,-2.60893,0,0,3,1,3
11.605,1.71195,-2.60507,0,0,3,1,3
11.719,1.70981,-2.61395,0,0,2,1,2
11.814,1.71549,-2.60742,0,0,1,1,1
11.906,1.71533,-2.59919,0,0,0,1,0
12.01,1.71107,-2.6087,0,0,0,1,0
12.115,1.71696,-2.60629,0,0,0,1,0
12.219,1.7108,-2.60297,0,0,0,1,0
12.301,1.71006,-2.60306,0,0,0,1,0
12.417,1.70536,-2.58982,0,0,0,1,0
12.548,1.70407,-2.60295,0,0,0,1,0
12.645,1.70582,-2.59885,0,0,0,1,0
12.72,1.70819,-2.60074,0,0,0,1,0
12.837,1.71015,-2.60358,0,0,0,1,0
12.922,1.71512,-2.61093,0,0,0,1,0
13.008,1.71046,-2.60834,0,0,0,1,0
13.119,1.71573,-2.6143,0,0,0,0,0
13.214,1.71699,-2.61,0,0,0,0,0
13.314,1.71527,-2.59916,0,0,0,0,0
13.421,1.70053,-2.6134,0,0,0,0,0
13.508,1.72223,-2.58975,0,0,0,0,0
13.609,1.74672,-2.55192,0,0,0,0,0
13.703,1.81459,-2.46897,0,0,0,0,0
13.801,1.83921,-2.36285,0,0,0,0,0
13.835,1.95282,-2.20149,0,0,0,0,0
13.941,2.08745,-2.08898,0,0,0,0,0
14.023,2.22419,-1.92958,0,0,0,0,0
14.11,2.36754,-1.5739,0,0,0,0,0
14.223,2.61752,-1.4481,0,0,0,0,0
14.272,2.7278,-1.16315,0,0,0,0,0
14.341,2.9845,-1.08349,0,0,0,0,0
14.446,3.16066,-0.791577,0,0,0,0,0
14.545,3.39317,-0.791577,0,0,0,0,0
14.602,3.60154,-0.612695,0,0,0,0,0
14.7,3.70306,-0.542857,0,0,0,0,0
14.801,3.81815,-0.393911,0,0,0,0,0
14.874,3.89226,-0.330076,0,0,0,0,0
14.948,3.99736,-0.267541,0,0,0,0,0
15.05,4.03009,-0.267541,0,0,0,0,0
15.102,4.15168,-0.142721,0,0,0,0,0
15.202,3.99697,-0.0047965,0,0,0,0,0
15.3,3.79834,0.236601,0,0,0,0,0
15.402,3.64646,0.379588,0,0,0,0,0
15.457,3.36067,0.561695,0,0,0,0,0
15.537,3.16969,0.895492,0,0,0,0,0
15.646,2.95128,1.10258,0,0,0,0,0
15.734,2.78545,1.1784,0,0,0,1,0
15.846,0.407858,1.33984,0,0,0,1,0
15.901,0.495497,1.48195,0,0,0,1,0
16.04,0.642681,1.66122,0,0,0,1,0
16.139,0.75659,1.74342,0,0,0,1,0
16.236,0.82573,1.74342,0,0,0,1,0
16.336,0.958393,1.92873,0,0,0,1,0
16.401,0.997725,1.92873,0,0,0,1,0
16.511,1.07338,2.00041,0,0,0,1,0
16.61,1.13798,2.06366,0,0,0,1,0
16.749,1.22147,2.1417,0,0,0,1,0
16.836,1.25066,2.15622,0,0,0,1,0
16.934,1.28291,2.15622,0,0,0,1,0
17.039,1.30051,2.20064,0,0,0,1,0
17.134,1.3085,2.22391,0,0,0,1,0
17.204,1.33381,2.22391,0,0,0,1,0
17.305,1.34736,2.22673,0,0,0,1,0
17.435,1.36502,2.29097,0,0,0,1,0
17.537,1.39223,2.29097,0,0,0,1,0
17.636,1.4423,2.36075,0,0,0,1,0
17.738,1.47308,2.36075,0,0,0,1,0
17.909,1.51907,2.4611,0,0,0,1,0
18.036,1.58381,2.47556,0,0,0,1,0
18.138,1.6309,2.52551,0,0,0,1,0
18.207,1.6394,2.5277,0,0,0,1,0
18.268,1.64434,2.54434,0,0,0,1,0
18.368,1.65518,2.55477,0,0,0,1,0
18.402,1.6738,2.55477,0,0,0,1,0
